"elisa_well","conc_pgml","abs_corrected"
"A1",20000,2.1587744
"B1",2000,1.99603381
"C1",1000,1.30214354
"D1",500,0.70980397
"E1",250,0.3710101
"F1",125,0.20204852
"G1",62.5,0.11502809
"H1",31.3,0.06737659
