"hsap_ensembl_gid","hsap_gene_name","diff_1","diff_2","undiff_1","undiff_2"
"ENSG00000205837","LINC00487",0,0,0,0
"ENSG00000205838","TTC23L",8,1,7,7
"ENSG00000205846","CLEC6A",0,0,0,0
"ENSG00000205847","OR7E91P",0,0,0,0
"ENSG00000205850","AL359736.1",0,0,0,0
"ENSG00000205853","RFPL3S",3,3,8,9
"ENSG00000205856","C22orf42",0,0,2,2
"ENSG00000205857","NANOGNB",0,0,0,0
"ENSG00000205858","LRRC72",0,0,0,0
"ENSG00000205861","C1QTNF9B-AS1",9,2,21,22
"ENSG00000205863","C1QTNF9B",4,6,20,16
"ENSG00000205864","KRTAP5-6",0,0,0,0
"ENSG00000205865","FAM99B",0,0,0,0
"ENSG00000205866","FAM99A",0,0,0,0
"ENSG00000205867","KRTAP5-2",0,0,0,0
"ENSG00000205869","KRTAP5-1",1,0,1,1
"ENSG00000205871","RPS3AP47",3,1,5,3
"ENSG00000205879","FAM90A2P",3,4,4,1
"ENSG00000205882","DEFB134",0,0,0,0
"ENSG00000205883","DEFB135",0,0,0,0
"ENSG00000205884","DEFB136",0,0,0,0
"ENSG00000205885","C1RL-AS1",400,328,395,411
"ENSG00000205890","RP11-473M20.5",1,10,0,1
"ENSG00000205897","OR7E136P",0,0,0,0
"ENSG00000205898","RP11-3B12.4",2,4,1,0
"ENSG00000205899","BHLHA9",0,0,0,3
"ENSG00000205903","ZNF316",684,665,1004,1083
"ENSG00000205913","SRRM2-AS1",29,30,1,6
"ENSG00000205916","DAZ4",0,0,0,0
"ENSG00000205918","PDPK2",86,62,149,137
"ENSG00000205922","ONECUT3",1,1,0,0
"ENSG00000205923","CEMP1",0,0,0,0
"ENSG00000205927","OLIG2",0,0,0,0
"ENSG00000205929","C21orf62",25,20,8,9
"ENSG00000205930","C21orf49",24,17,10,16
"ENSG00000205936","PPP1R12BP2",0,0,0,0
"ENSG00000205937","RNPS1",3164,3167,3808,3968
"ENSG00000205940","HSP90AB2P",1,0,0,0
"ENSG00000205944","DAZ2",0,0,0,0
"ENSG00000205946","USP17L6P",0,0,0,0
"ENSG00000205955","HSP90AA5P",0,0,0,0
"ENSG00000205959","RP11-689P11.2",4,13,9,17
